Date,No of Persons,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER
2,257,25.7,1,6.425,2.4,13.76785714,3,12.85,4.5,18.35714286,1.1,33.04285714,1.7,7.342857143,0,22.94642857,10.5,27.53571429,3.8,44.975,5,201.9285714,7.2,1.835714286,0.1,36.71428571,1.6,826.0714286,10.2,5.507142857,2.5,36.71428571,3.5,44.975,7.7,917.8571429,8.7,201.9285714,10.8,9.178571429,2.6,2.294642857,0.5
3,293,29.3,5.1,7.325,3.2,15.69642857,8,14.65,6.3,20.92857143,5.3,37.67142857,3.7,8.371428571,0,26.16071429,11.6,31.39285714,6.1,51.275,10.5,230.2142857,13.3,2.092857143,0.9,41.85714286,6.1,941.7857143,27.8,6.278571429,3.1,41.85714286,16.4,51.275,12.3,1046.428571,16.9,230.2142857,14.5,10.46428571,3,2.616071429,1
4,264,26.4,4.1,6.6,1.1,14.14285714,1.8,13.2,2.2,18.85714286,3.2,33.94285714,1.4,7.542857143,0,23.57142857,5.7,28.28571429,4.2,46.2,1.2,207.4285714,8.9,1.885714286,0.2,37.71428571,2,848.5714286,16.2,5.657142857,2.2,37.71428571,6.8,46.2,7.6,942.8571429,7.6,207.4285714,8.2,9.428571429,1.1,2.357142857,0.6
5,257,25.7,4.9,6.425,1.3,13.76785714,3.4,12.85,2.1,18.35714286,2.4,33.04285714,1,7.342857143,0,22.94642857,6.7,27.53571429,2.6,44.975,4.7,201.9285714,9,1.835714286,0.4,36.71428571,2.7,826.0714286,16.4,5.507142857,1.9,36.71428571,5.2,44.975,6.1,917.8571429,11.2,201.9285714,7.3,9.178571429,1.5,2.294642857,0.8
6,301,30.1,8.3,7.525,3.3,16.125,5.1,15.05,6,21.5,6.1,38.7,3.3,8.6,0,26.875,15.5,32.25,6.1,52.675,11.9,236.5,13.9,2.15,1.1,43,7.8,967.5,17.4,6.45,3.3,43,15.6,52.675,13.8,1075,18.5,236.5,11.3,10.75,5.9,2.6875,1
7,284,28.4,8,7.1,4.9,15.21428571,6,14.2,5.9,20.28571429,9.6,36.51428571,3.8,8.114285714,0,25.35714286,11.5,30.42857143,6.8,49.7,13.1,223.1428571,13.4,2.028571429,1,40.57142857,4.7,912.8571429,19.4,6.085714286,3.5,40.57142857,11,49.7,13.6,1014.285714,16.6,223.1428571,13.2,10.14285714,5,2.535714286,1
1,293,29.3,6.7,7.325,3.4,15.69642857,8.4,14.65,5.6,20.92857143,5.3,37.67142857,3.9,8.371428571,0,26.16071429,14.1,31.39285714,6.1,51.275,9,230.2142857,13.8,2.092857143,0.9,41.85714286,4.9,941.7857143,22,6.278571429,3.8,41.85714286,12,51.275,13.8,1046.428571,17.8,230.2142857,15.5,10.46428571,4.9,2.616071429,1
2,281,28.1,8.2,7.025,3.3,15.05357143,6,14.05,6,20.07142857,5.5,36.12857143,3.6,8.028571429,0,25.08928571,15.2,30.10714286,8.5,49.175,11.3,220.7857143,11,2.007142857,1.2,40.14285714,5.3,903.2142857,20.6,6.021428571,3.4,40.14285714,16.6,49.175,9.7,1003.571429,19.8,220.7857143,15.1,10.03571429,4.5,2.508928571,1
3,305,30.5,5.3,7.625,3.3,16.33928571,4.2,15.25,8.2,21.78571429,9.1,39.21428571,3.3,8.714285714,0,27.23214286,14.6,32.67857143,6.4,53.375,12.4,239.6428571,13.9,2.178571429,1.1,43.57142857,7.3,980.3571429,23.6,6.535714286,3.9,43.57142857,8,53.375,8.6,1089.285714,17.3,239.6428571,12.6,10.89285714,4.7,2.723214286,1
4,251,25.1,3.8,6.275,1.9,13.44642857,2.7,12.55,1.5,17.92857143,2.3,32.27142857,1,7.171428571,0,22.41071429,7.8,26.89285714,3,43.925,3.1,197.2142857,8.5,1.792857143,0.3,35.85714286,2.1,806.7857143,10.4,5.378571429,1.2,35.85714286,7.9,43.925,7.2,896.4285714,9.1,197.2142857,7.3,8.964285714,2.5,2.241071429,0.1
5,301,30.1,6.6,7.525,3.6,16.125,6.2,15.05,5.5,21.5,6.5,38.7,3.4,8.6,0,26.875,12.2,32.25,7.5,52.675,12.8,236.5,12.8,2.15,0.7,43,4.3,967.5,22.4,6.45,3.7,43,12.7,52.675,12.2,1075,14,236.5,12.9,10.75,4.9,2.6875,1
6,276,27.6,5.5,6.9,3.7,14.78571429,5.4,13.8,9.3,19.71428571,9.6,35.48571429,3.9,7.885714286,0,24.64285714,12.6,29.57142857,7.7,48.3,10.1,216.8571429,11.2,1.971428571,1.2,39.42857143,5.4,887.1428571,23,5.914285714,3.5,39.42857143,18.9,48.3,10.1,985.7142857,21.5,216.8571429,14,9.857142857,5.4,2.464285714,1
7,286,28.6,7.5,7.15,4.4,15.32142857,8.9,14.3,6.5,20.42857143,5.7,36.77142857,3.5,8.171428571,0,25.53571429,12.8,30.64285714,6.5,50.05,11.8,224.7142857,11.5,2.042857143,0.5,40.85714286,7.9,919.2857143,20,6.128571429,3.5,40.85714286,20.3,50.05,10.1,1021.428571,15.8,224.7142857,11.6,10.21428571,5,2.553571429,1
1,303,30.3,6.6,7.575,3.6,16.23214286,8.5,15.15,7.9,21.64285714,7.2,38.95714286,3.2,8.657142857,0,27.05357143,12,32.46428571,7.5,53.025,11.5,238.0714286,11.5,2.164285714,0.5,43.28571429,6.3,973.9285714,18.1,6.492857143,3.5,43.28571429,8.6,53.025,12.9,1082.142857,17,238.0714286,13.5,10.82142857,4.1,2.705357143,1
2,301,30.1,8.4,7.525,4.9,16.125,5.6,15.05,9.1,21.5,5.7,38.7,3.2,8.6,0,26.875,11.4,32.25,8.7,52.675,15.7,236.5,11.8,2.15,1.1,43,4.5,967.5,21,6.45,3.3,43,15.7,52.675,11.4,1075,15.1,236.5,13.5,10.75,5.4,2.6875,1
3,276,27.6,5.5,6.9,4.4,14.78571429,4.3,13.8,8.4,19.71428571,6.4,35.48571429,3,7.885714286,0,24.64285714,11.4,29.57142857,6.5,48.3,13,216.8571429,12.4,1.971428571,0.5,39.42857143,5.8,887.1428571,24.9,5.914285714,3.4,39.42857143,17.7,48.3,10.3,985.7142857,16.8,216.8571429,14.7,9.857142857,3.5,2.464285714,1
4,296,29.6,8.5,7.4,3.4,15.85714286,4.8,14.8,7.4,21.14285714,6.5,38.05714286,3.8,8.457142857,0,26.42857143,11,31.71428571,6.2,51.8,12.2,232.5714286,12.3,2.114285714,0.8,42.28571429,6.5,951.4285714,23.7,6.342857143,3.4,42.28571429,15.4,51.8,10,1057.142857,19.9,232.5714286,15.7,10.57142857,5.4,2.642857143,1
5,294,29.4,6.9,7.35,4.3,15.75,4.7,14.7,8,21,9.7,37.8,3.7,8.4,0,26.25,12.1,31.5,6,51.45,15.6,231,12,2.1,1.2,42,6.6,945,26.4,6.3,3.7,42,15.6,51.45,14.2,1050,21.7,231,11.4,10.5,4.9,2.625,1
6,302,30.2,8.4,7.55,4.7,16.17857143,8.5,15.1,8.9,21.57142857,9,38.82857143,3,8.628571429,0,26.96428571,13,32.35714286,8.7,52.85,14.1,237.2857143,11.9,2.157142857,1.1,43.14285714,6.8,970.7142857,21.3,6.471428571,3,43.14285714,8.2,52.85,10.7,1078.571429,18.2,237.2857143,15,10.78571429,3.7,2.696428571,1
7,273,27.3,5.6,6.825,3.5,14.625,4.8,13.65,8.2,19.5,9.6,35.1,3.4,7.8,0,24.375,12.4,29.25,6.7,47.775,13.4,214.5,12.8,1.95,1,39,4.9,877.5,20.2,5.85,3.2,39,10.8,47.775,12.9,975,19.6,214.5,13.6,9.75,3.9,2.4375,1
1,296,29.6,5.5,7.4,3,15.85714286,6,14.8,9.2,21.14285714,5.7,38.05714286,3.8,8.457142857,0,26.42857143,14,31.71428571,6.2,51.8,13.2,232.5714286,11.9,2.114285714,1.1,42.28571429,4.6,951.4285714,23.5,6.342857143,3.4,42.28571429,15.8,51.8,12.4,1057.142857,21.8,232.5714286,14.1,10.57142857,5.6,2.642857143,1
2,297,29.7,8.7,7.425,3,15.91071429,6.7,14.85,6.1,21.21428571,8.8,38.18571429,3.4,8.485714286,0,26.51785714,15.6,31.82142857,8.7,51.975,12,233.3571429,13.6,2.121428571,0.9,42.42857143,4.4,954.6428571,24.1,6.364285714,3.6,42.42857143,20.5,51.975,11.8,1060.714286,20.7,233.3571429,15.1,10.60714286,5.4,2.651785714,1
3,273,27.3,6.4,6.825,4.8,14.625,8.4,13.65,6.5,19.5,8.2,35.1,3.3,7.8,0,24.375,11.7,29.25,7.4,47.775,13.8,214.5,11,1.95,0.5,39,7.6,877.5,19,5.85,3.8,39,17.6,47.775,11.6,975,17.7,214.5,11.5,9.75,5.4,2.4375,1
4,264,26.4,1.6,6.6,2,14.14285714,1.9,13.2,1.8,18.85714286,1.7,33.94285714,2.7,7.542857143,0,23.57142857,6.9,28.28571429,5.1,46.2,8.6,207.4285714,6.3,1.885714286,0.1,37.71428571,3.8,848.5714286,14,5.657142857,1.1,37.71428571,3.3,46.2,0.7,942.8571429,12.7,207.4285714,8.3,9.428571429,2.7,2.357142857,0.1
5,259,25.9,3.8,6.475,1.7,13.875,2.7,12.95,4.3,18.5,4.9,33.3,1.9,7.4,0,23.125,10.3,27.75,4.1,45.325,3.2,203.5,10.9,1.85,0.3,37,2,832.5,13.2,5.55,2.6,37,4.6,45.325,3.2,925,8.3,203.5,6.2,9.25,1.1,2.3125,0
6,255,25.5,1.4,6.375,2.8,13.66071429,1.5,12.75,2.1,18.21428571,4.9,32.78571429,1.3,7.285714286,0,22.76785714,9.6,27.32142857,4.2,44.625,6.2,200.3571429,5.7,1.821428571,0.3,36.42857143,2.3,819.6428571,15.9,5.464285714,1.8,36.42857143,5.7,44.625,0.2,910.7142857,10.8,200.3571429,8.8,9.107142857,1.9,2.276785714,0.4
7,270,27,2.4,6.75,2.2,14.46428571,3.3,13.5,1.8,19.28571429,1,34.71428571,2,7.714285714,0,24.10714286,9.1,28.92857143,2.6,47.25,2,212.1428571,7.7,1.928571429,0.2,38.57142857,2.8,867.8571429,10.9,5.785714286,2.8,38.57142857,7.3,47.25,7.8,964.2857143,6.4,212.1428571,6.2,9.642857143,2.2,2.410714286,0.6
1,282,28.2,6.6,7.05,3.8,15.10714286,6.9,14.1,9,20.14285714,6.7,36.25714286,3.2,8.057142857,0,25.17857143,12.9,30.21428571,6.2,49.35,10.5,221.5714286,12.3,2.014285714,0.6,40.28571429,6.4,906.4285714,17.8,6.042857143,3.4,40.28571429,19.5,49.35,10.4,1007.142857,20.2,221.5714286,13.7,10.07142857,5.8,2.517857143,1
2,286,28.6,8.5,7.15,3.9,15.32142857,5.4,14.3,5.1,20.42857143,6.2,36.77142857,3.8,8.171428571,0,25.53571429,11.6,30.64285714,6,50.05,9.5,224.7142857,11.3,2.042857143,0.5,40.85714286,4.7,919.2857143,18.7,6.128571429,3.5,40.85714286,16.4,50.05,9.6,1021.428571,15,224.7142857,13.9,10.21428571,5.4,2.553571429,1
3,292,29.2,5.6,7.3,4.5,15.64285714,7.5,14.6,5.2,20.85714286,7.8,37.54285714,3.9,8.342857143,0,26.07142857,15.7,31.28571429,8.4,51.1,9.7,229.4285714,12.2,2.085714286,0.8,41.71428571,4.9,938.5714286,17.6,6.257142857,3.7,41.71428571,12.7,51.1,9.8,1042.857143,15,229.4285714,13.5,10.42857143,4.6,2.607142857,1
4,262,26.2,4.1,6.55,1.3,14.03571429,2,13.1,2.6,18.71428571,3.6,33.68571429,1.5,7.485714286,0,23.39285714,4.8,28.07142857,3.5,45.85,1.9,205.8571429,6.9,1.871428571,0.1,37.42857143,1.7,842.1428571,11.2,5.614285714,2.3,37.42857143,3.3,45.85,1.1,935.7142857,12,205.8571429,6.6,9.357142857,2.4,2.339285714,0.6
5,283,28.3,7,7.075,4,15.16071429,6.2,14.15,9.9,20.21428571,8.8,36.38571429,3,8.085714286,0,25.26785714,14.4,30.32142857,6.6,49.525,10.1,222.3571429,12,2.021428571,0.9,40.42857143,7.4,909.6428571,17.8,6.064285714,3.9,40.42857143,13.8,49.525,8.6,1010.714286,20.7,222.3571429,12.2,10.10714286,3.1,2.526785714,1
6,269,26.9,3,6.725,2.6,14.41071429,2.4,13.45,2.7,19.21428571,1.9,34.58571429,2.8,7.685714286,0,24.01785714,8.5,28.82142857,4.3,47.075,5.2,211.3571429,6.2,1.921428571,0.4,38.42857143,3.6,864.6428571,10.3,5.764285714,1.1,38.42857143,7.1,47.075,7,960.7142857,8.3,211.3571429,7.6,9.607142857,1.1,2.401785714,0.9
7,305,30.5,7.8,7.625,4.9,16.33928571,7.1,15.25,7.8,21.78571429,9.5,39.21428571,3.6,8.714285714,0,27.23214286,13,32.67857143,7.8,53.375,12.2,239.6428571,12.9,2.178571429,1.2,43.57142857,6.1,980.3571429,18.6,6.535714286,3.7,43.57142857,18.3,53.375,14,1089.285714,20.2,239.6428571,13.4,10.89285714,4.6,2.723214286,1
1,252,25.2,1.2,6.3,2,13.5,1.9,12.6,4.6,18,3.4,32.4,1.2,7.2,0,22.5,6.9,27,5,44.1,8.6,198,7.5,1.8,0.3,36,3.5,810,14,5.4,1.7,36,3.6,44.1,5.8,900,9,198,6.9,9,1.3,2.25,0.8
2,270,27,1.1,6.75,2.2,14.46428571,2.7,13.5,3.3,19.28571429,4.6,34.71428571,1.5,7.714285714,0,24.10714286,5.9,28.92857143,5,47.25,3.5,212.1428571,6.6,1.928571429,0.3,38.57142857,2.9,867.8571429,10,5.785714286,2.8,38.57142857,3.9,47.25,5.5,964.2857143,7.8,212.1428571,9.3,9.642857143,2.8,2.410714286,0.2
3,301,30.1,5.4,7.525,3.3,16.125,6.5,15.05,8.5,21.5,5.8,38.7,3.3,8.6,0,26.875,13.8,32.25,6.5,52.675,9.2,236.5,12.7,2.15,1,43,5.6,967.5,25,6.45,3.7,43,20.3,52.675,11.1,1075,15,236.5,12.1,10.75,4.1,2.6875,1
4,296,29.6,7,7.4,4.3,15.85714286,7.6,14.8,7.6,21.14285714,7.3,38.05714286,3.7,8.457142857,0,26.42857143,11.8,31.71428571,6,51.8,11.7,232.5714286,13,2.114285714,1.2,42.28571429,6.6,951.4285714,25.5,6.342857143,3.9,42.28571429,10.2,51.8,8.2,1057.142857,17.1,232.5714286,12.8,10.57142857,4.3,2.642857143,1
5,281,28.1,6,7.025,3.1,15.05357143,5.9,14.05,7.5,20.07142857,8.3,36.12857143,3.2,8.028571429,0,25.08928571,12.2,30.10714286,8.9,49.175,12.7,220.7857143,11.8,2.007142857,1.2,40.14285714,6.3,903.2142857,25.4,6.021428571,3,40.14285714,19.2,49.175,13.8,1003.571429,18.1,220.7857143,11.9,10.03571429,4.6,2.508928571,1
6,259,25.9,4.8,6.475,2.9,13.875,2.1,12.95,2.6,18.5,1.9,33.3,1.6,7.4,0,23.125,4.2,27.75,3.9,45.325,8.3,203.5,9.6,1.85,0.4,37,2.3,832.5,12,5.55,2,37,5,45.325,3,925,10.5,203.5,9.1,9.25,2.5,2.3125,0.6
7,294,29.4,7.5,7.35,3.5,15.75,5.3,14.7,5.5,21,8.1,37.8,3.6,8.4,0,26.25,14.3,31.5,6,51.45,10.4,231,12.1,2.1,0.8,42,4.7,945,19.2,6.3,3.2,42,9.7,51.45,11.9,1050,20.1,231,11.4,10.5,5.4,2.625,1
1,262,26.2,1.2,6.55,1.7,14.03571429,1.9,13.1,4.8,18.71428571,2.6,33.68571429,2.8,7.485714286,0,23.39285714,7.1,28.07142857,4.7,45.85,7.2,205.8571429,7.9,1.871428571,0.4,37.42857143,2.7,842.1428571,12.2,5.614285714,2.9,37.42857143,6.4,45.85,3.2,935.7142857,11.4,205.8571429,6.8,9.357142857,2.5,2.339285714,0.6
2,291,29.1,5.8,7.275,3.8,15.58928571,5.9,14.55,7.6,20.78571429,7.2,37.41428571,3.9,8.314285714,0,25.98214286,12.7,31.17857143,7.2,50.925,10.3,228.6428571,12.6,2.078571429,0.8,41.57142857,4.1,935.3571429,17.7,6.235714286,3.1,41.57142857,8.1,50.925,11.5,1039.285714,16.5,228.6428571,14.1,10.39285714,4.7,2.598214286,1
3,304,30.4,8.6,7.6,3.2,16.28571429,7.7,15.2,8,21.71428571,6.9,39.08571429,3.3,8.685714286,0,27.14285714,11.4,32.57142857,6.2,53.2,10.1,238.8571429,13.4,2.171428571,1.2,43.42857143,4.5,977.1428571,23.5,6.514285714,3.8,43.42857143,14.9,53.2,11.1,1085.714286,17.9,238.8571429,14.6,10.85714286,4.2,2.714285714,1
4,265,26.5,1.5,6.625,1,14.19642857,2.3,13.25,1.1,18.92857143,2.1,34.07142857,2.8,7.571428571,0,23.66071429,9,28.39285714,2.1,46.375,8.9,208.2142857,5.9,1.892857143,0.2,37.85714286,2,851.7857143,9,5.678571429,2.9,37.85714286,4,46.375,3.1,946.4285714,10.7,208.2142857,9.2,9.464285714,2.6,2.366071429,0.6
5,286,28.6,6.8,7.15,4.2,15.32142857,5.4,14.3,8.1,20.42857143,9.8,36.77142857,3,8.171428571,0,25.53571429,14,30.64285714,8.6,50.05,15.1,224.7142857,12,2.042857143,0.6,40.85714286,4.6,919.2857143,23.1,6.128571429,3.8,40.85714286,12,50.05,13,1021.428571,17.7,224.7142857,12.8,10.21428571,5.4,2.553571429,1
6,289,28.9,8.9,7.225,3,15.48214286,7.1,14.45,7.3,20.64285714,8.1,37.15714286,3.3,8.257142857,0,25.80357143,14.7,30.96428571,7.8,50.575,13,227.0714286,12.7,2.064285714,1.1,41.28571429,4.8,928.9285714,18,6.192857143,3.8,41.28571429,17.1,50.575,9.7,1032.142857,14.8,227.0714286,15.3,10.32142857,3.9,2.580357143,1
7,284,28.4,7.7,7.1,3.2,15.21428571,4.9,14.2,9.9,20.28571429,8.8,36.51428571,3.2,8.114285714,0,25.35714286,14.3,30.42857143,7,49.7,9.8,223.1428571,11.7,2.028571429,0.5,40.57142857,6.8,912.8571429,20.9,6.085714286,3.9,40.57142857,16.6,49.7,8.7,1014.285714,19.9,223.1428571,15.8,10.14285714,5.9,2.535714286,1
1,255,25.5,2.3,6.375,1.3,13.66071429,1.3,12.75,2.8,18.21428571,2.2,32.78571429,2.5,7.285714286,0,22.76785714,9.3,27.32142857,2.7,44.625,8.7,200.3571429,10.1,1.821428571,0.2,36.42857143,1.5,819.6428571,11.4,5.464285714,2.4,36.42857143,3.8,44.625,1.7,910.7142857,9.2,200.3571429,8,9.107142857,1.1,2.276785714,0
2,295,29.5,5.6,7.375,4.2,15.80357143,6.3,14.75,9.2,21.07142857,8.6,37.92857143,3.2,8.428571429,0,26.33928571,13.3,31.60714286,6.6,51.625,12.4,231.7857143,12.4,2.107142857,0.8,42.14285714,4.3,948.2142857,21.9,6.321428571,3,42.14285714,11.4,51.625,8.2,1053.571429,15,231.7857143,14.2,10.53571429,5.7,2.633928571,1
3,265,26.5,2.2,6.625,2.9,14.19642857,1.8,13.25,4.4,18.92857143,1.3,34.07142857,2.9,7.571428571,0,23.66071429,9.9,28.39285714,4.1,46.375,5.6,208.2142857,8.1,1.892857143,0.4,37.85714286,1.1,851.7857143,10.7,5.678571429,1.8,37.85714286,3.8,46.375,0,946.4285714,8.1,208.2142857,6.6,9.464285714,2.3,2.366071429,0.8
4,261,26.1,3.6,6.525,2.7,13.98214286,1.9,13.05,3.3,18.64285714,2.7,33.55714286,1.5,7.457142857,0,23.30357143,6.9,27.96428571,4.8,45.675,5.7,205.0714286,10.8,1.864285714,0.1,37.28571429,2.7,838.9285714,12.4,5.592857143,2,37.28571429,5.3,45.675,0.3,932.1428571,6.1,205.0714286,7.6,9.321428571,1.2,2.330357143,0.6
5,300,30,7.1,7.5,4.2,16.07142857,4.9,15,6,21.42857143,8.2,38.57142857,3.6,8.571428571,0,26.78571429,11.1,32.14285714,7.4,52.5,11.1,235.7142857,11.8,2.142857143,1.2,42.85714286,4,964.2857143,25.8,6.428571429,3.3,42.85714286,16.3,52.5,13.9,1071.428571,19.3,235.7142857,11.5,10.71428571,3.1,2.678571429,1
6,296,29.6,5.1,7.4,4.5,15.85714286,5.4,14.8,8.9,21.14285714,8.5,38.05714286,3.5,8.457142857,0,26.42857143,13.5,31.71428571,8.3,51.8,13.1,232.5714286,12.6,2.114285714,0.9,42.28571429,4.2,951.4285714,20.2,6.342857143,3.6,42.28571429,15.1,51.8,13.6,1057.142857,18.3,232.5714286,12.9,10.57142857,4.3,2.642857143,1
7,285,28.5,5.5,7.125,3.4,15.26785714,7,14.25,9.9,20.35714286,6.6,36.64285714,3.8,8.142857143,0,25.44642857,14,30.53571429,8,49.875,12,223.9285714,11.8,2.035714286,1.1,40.71428571,6.4,916.0714286,17.7,6.107142857,3.5,40.71428571,10,49.875,8.7,1017.857143,20,223.9285714,12.7,10.17857143,5.8,2.544642857,1
1,281,28.1,8.1,7.025,4.8,15.05357143,4.8,14.05,6.2,20.07142857,8.8,36.12857143,3,8.028571429,0,25.08928571,11.8,30.10714286,6.1,49.175,15.3,220.7857143,11,2.007142857,0.6,40.14285714,4.9,903.2142857,23.9,6.021428571,3.2,40.14285714,9.5,49.175,12.5,1003.571429,14.8,220.7857143,12.4,10.03571429,4.1,2.508928571,1
2,287,28.7,5.1,7.175,4.5,15.375,6,14.35,7.7,20.5,5.9,36.9,3.8,8.2,0,25.625,14,30.75,8.3,50.225,9,225.5,12.8,2.05,0.6,41,5.9,922.5,23.5,6.15,3,41,13.5,50.225,13.1,1025,21.9,225.5,13.7,10.25,5.5,2.5625,1
3,302,30.2,7.9,7.55,4.3,16.17857143,8.2,15.1,6.9,21.57142857,8.6,38.82857143,3.8,8.628571429,0,26.96428571,14.4,32.35714286,7.1,52.85,12.1,237.2857143,12.6,2.157142857,0.5,43.14285714,6.3,970.7142857,25.6,6.471428571,3.7,43.14285714,9.8,52.85,12.8,1078.571429,17.8,237.2857143,14,10.78571429,5.2,2.696428571,1
4,296,29.6,5.9,7.4,4.9,15.85714286,4.5,14.8,8.7,21.14285714,9.2,38.05714286,3.9,8.457142857,0,26.42857143,11.3,31.71428571,6.8,51.8,15.3,232.5714286,13.3,2.114285714,0.9,42.28571429,5.5,951.4285714,22.6,6.342857143,3.1,42.28571429,16,51.8,14.5,1057.142857,18.3,232.5714286,15.1,10.57142857,4.8,2.642857143,1
5,298,29.8,6.2,7.45,3.7,15.96428571,4.9,14.9,9.8,21.28571429,9.5,38.31428571,3,8.514285714,0,26.60714286,13.9,31.92857143,8.8,52.15,12.4,234.1428571,13.8,2.128571429,1.1,42.57142857,5.5,957.8571429,19.5,6.385714286,3.1,42.57142857,18.4,52.15,13.9,1064.285714,18.3,234.1428571,13.2,10.64285714,5.1,2.660714286,1
6,254,25.4,2.7,6.35,2.8,13.60714286,3.6,12.7,2.8,18.14285714,1.5,32.65714286,1,7.257142857,0,22.67857143,9.2,27.21428571,3,44.45,6.7,199.5714286,4.3,1.814285714,0.4,36.28571429,3.4,816.4285714,10.7,5.442857143,1.8,36.28571429,7.1,44.45,5.6,907.1428571,9.7,199.5714286,10.5,9.071428571,2,2.267857143,0.8
